checkingstatus,loanduration,credithistory,loanpurpose,loanamount,existingsavings,employmentduration,installmentpercent,sex,othersonloan,currentresidenceduration,ownsproperty,age,installmentplans,housing,existingcreditscount,job,dependents,telephone,foreignworker,prediction,scoring_timestamp
0.0,31.0,1.0,6.0,1889.0,0.0,3.0,45.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T14:49:00.709001
2.0,18.0,1.0,2.0,462.0,3.0,0.0,23.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T14:49:20.709001
0.0,28.0,1.0,9.0,3693.0,3.0,2.0,49.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T14:49:40.709001
3.0,32.0,3.0,10.0,9604.0,1.0,2.0,26.0,1.0,6.0,0.0,3.0,5.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2022-03-04T14:50:00.709001
2.0,16.0,1.0,10.0,3109.0,3.0,1.0,26.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T14:50:20.709001
2.0,5.0,0.0,2.0,1523.0,3.0,4.0,34.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2022-03-04T14:50:40.709001
0.0,33.0,1.0,8.0,3946.0,3.0,1.0,38.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,2022-03-04T14:51:00.709001
2.0,9.0,4.0,5.0,292.0,3.0,3.0,45.0,0.0,2.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T14:51:20.709001
3.0,28.0,4.0,8.0,3789.0,0.0,1.0,27.0,1.0,4.0,2.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T14:51:40.709001
3.0,64.0,3.0,9.0,9918.0,4.0,1.0,61.0,1.0,6.0,0.0,3.0,5.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2022-03-04T14:52:00.709001
2.0,4.0,1.0,2.0,250.0,3.0,0.0,59.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T14:52:20.709001
2.0,39.0,3.0,0.0,4131.0,0.0,0.0,37.0,1.0,4.0,2.0,3.0,4.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2022-03-04T14:52:40.709001
3.0,35.0,3.0,8.0,3541.0,2.0,2.0,40.0,1.0,5.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2022-03-04T14:53:00.709001
2.0,17.0,1.0,8.0,3861.0,3.0,0.0,53.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T14:53:20.709001
1.0,22.0,0.0,3.0,3376.0,3.0,3.0,44.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T14:53:40.709001
3.0,39.0,1.0,10.0,6434.0,4.0,2.0,32.0,1.0,5.0,2.0,0.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2022-03-04T14:54:00.709001
1.0,23.0,1.0,3.0,2963.0,2.0,2.0,34.0,1.0,4.0,2.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T14:54:20.709001
3.0,32.0,4.0,7.0,5105.0,1.0,0.0,36.0,1.0,4.0,2.0,2.0,5.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2022-03-04T14:54:40.709001
3.0,23.0,4.0,5.0,1440.0,0.0,0.0,21.0,0.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,2022-03-04T14:55:00.709001
2.0,18.0,4.0,9.0,4032.0,3.0,0.0,31.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T14:55:20.709001
3.0,36.0,4.0,0.0,5927.0,4.0,2.0,38.0,1.0,4.0,0.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2022-03-04T14:55:40.709001
3.0,50.0,3.0,6.0,4694.0,4.0,2.0,37.0,1.0,4.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2022-03-04T14:56:00.709001
3.0,14.0,1.0,5.0,1269.0,1.0,2.0,56.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T14:56:20.709001
3.0,34.0,4.0,5.0,2196.0,1.0,2.0,52.0,1.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T14:56:40.709001
3.0,25.0,4.0,3.0,8708.0,0.0,0.0,37.0,1.0,4.0,2.0,0.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2022-03-04T14:57:00.709001
3.0,27.0,4.0,7.0,4981.0,1.0,1.0,52.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,2022-03-04T14:57:20.709001
2.0,13.0,0.0,2.0,2436.0,3.0,3.0,32.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2022-03-04T14:57:40.709001
